2052;Assemblee Nationale;[2170, 1669];48.86145390429487;2.3203096905073557
2055;Aubervilliers Pantin (4 Chemins);[2422, 2199];48.903898047529474;2.3924800786724747
2057;Avenue Emile-Zola;[2537, 2031];48.846852151949776;2.2954488279344742
2058;Avron;[2160, 2371];48.851193819213286;2.398239140823123
2062;Bastille;[1642, 2210, 1759, 2164, 3343787, 3343783];48.85297567465423;2.3692188244433434
2065;Bel-Air;[2094, 2399];48.84143200664826;2.4008691933800934
2067;Berault;[1725, 2154];48.84536875015732;2.428244509620486
4028974;Mairie de Montrouge;[1735];48.81846633711334;2.319643218617825
2068;Bercy;[2524, 2543, 1166828, 2210];48.84019224440348;2.3794772572660587
2069;Bir-Hakeim (Grenelle);[2390, 1926];48.854327218552356;2.2888101037361173
2071;Blanche;[2405, 2401];48.88377051883179;2.332485148274094
2072;Bobigny-Pantin (Raymond Queneau);[2257, 2089];48.895799232549;2.4248572983975945
2073;Boissiere;[2234, 1687];48.86685615476034;2.2900380734450088
2075;Bolivar;[2296, 2132];48.880790122828465;2.374155126662647
2079;Couronnes;[2548, 2351];48.86932916949657;2.3805363661617247
2089;Bobigny-Pablo-Picasso;[2072];48.907147312551565;2.44945750453114
2093;Crimee;[2448, 1985];48.89028877504466;2.3767786489253644
2094;Daumesnil (Felix Eboue);[2543, 2065, 3343797, 3343794];48.83937646312499;2.3957880604156494
2096;Anvers;[2401, 2547];48.882871690180586;2.344163572800391
2098;Argentine;[2433, 2147];48.87567248598795;2.289444164481448
2099;Arts-et-Metiers;[2375, 1683, 1761, 2376];48.865551863634785;2.356108155120312
2132;Buttes-Chaumont;[2075, 2191];48.877803956007845;2.3812110997359883
2133;Buzenval;[1882, 2371];48.851767474505195;2.4011814838726444
2134;Cadet;[2316, 2373];48.875825718038186;2.343345124573273
2135;Cambronne;[2537, 1665];48.8476991081708;2.302039143669263
2139;Censier-Daubenton;[1854, 1649];48.840594300001605;2.351755612946688
1629;Villiers;[2452, 1881, 1935];48.88132429394468;2.3165967615088174
1632;Volontaires;[2391, 2501];48.84141844267774;2.307993649386661
1633;Voltaire (Leon Blum);[2151, 1714];48.85766372576006;2.3800362967955064
1634;Wagram;[2396, 1881];48.883712476037346;2.3055577575143036
2147;Charles de Gaulle-Etoile;[2098, 1961, 2504, 1684, 2234];48.8739310942679;2.295127251650101
1635;Danube;[2191];48.88195101817822;2.3932606758573876
1638;Varenne;[3343761, 2464];48.85639306919846;2.3147543648102884
2151;Charonne;[2454, 1633];48.85464204744478;2.385032193334828
1639;Villejuif-Leo Lagrange;[2506, 1925];48.80376966328267;2.3639093063890435
2152;Chateau Rouge;[2547, 2535];48.887086283050444;2.3493700732513783
1640;Saint-Jacques;[1996, 1962];48.83299169177581;2.3366828966443496
